Name_of_Influencer,Insta_Handle,Q_Score,Followers,Avg_Likes,Avg_Views,Engagement_Ratio,Location,Categories
Mokka Engineer 2.0,mokkaengineers,2,150.6k,0,0,0.00%,Chennai,TechnologyProgramming
Gaurav Kapur,gauravkaps,7.88,150.2k,4.2k,20.6k,2.81%,India,Arts & EntertainmentSports
Shivangi Arora,twistie_bites,6.79,150.2k,489,0,0.33%,Gurgaon,Food & Drink
VortechSuperchargers,vortechsuperchargers,6.05,149.9k,217,2.7k,0.15%,Assam,Technology
Ayush,foodtravelstories,2,149.5k,0,4k,0.13%,Mumbai,Food & Drink
Rocky & Mayur,rockyandmayur,7.61,149.2k,1.2k,4.5k,0.81%,Goa,Food & DrinkTravel
Wildkarnataka,wildkarnataka,7.85,148.5k,3.9k,17.6k,2.64%,Karnataka,Arts & EntertainmentPhotography
Dev,devdxb,7.9,148.2k,4.4k,16.9k,3.00%,India,Photography
Sarthak Jain??,wannabefoodie69,7.65,147.3k,1.6k,12.1k,1.07%,New Delhi,Food & Drink
JKTourism (Official),jktourismofficial,7.7,147.3k,2.2k,9.5k,1.51%,Kashmir,LifestyleTravel
Shuchir Suri,shuchirsuri,7.62,147.1k,1.3k,18.1k,0.90%,New Delhi,Food & Drink
Pooja??Mom Of BabyAnaisha®,babyanaisha,7.63,145.7k,1.4k,18.1k,0.98%,Delhi,Family & Parenting
Ur IndianConsumer,urindianconsumer,8.22,145.3k,7.9k,48.8k,5.50%,India,TechnologyGadgets
Pari | TheFitnessVogue,thefitnessvogue,7.97,145.3k,5.2k,53.4k,3.61%,Kolkata,FitnessStyle & Fashion
Suhail Chandhok,suhailchandhok,7.66,145.1k,1.7k,12.3k,1.18%,Chennai,SportsArts & Entertainment
Bharatzkitchen HINDI,bharatzkitchen,7.71,145k,2.3k,13.2k,1.58%,India,Food & Drink
Prithi Ashwin,prithinarayanan,8.54,144.5k,17.4k,111.9k,12.06%,Chennai,Family & ParentingTravel
Kaushal Dayal,0ptech,5.64,144.4k,154,59.1k,0.11%,India,TechnologyApps & Software
Arun Prabhudesai,8ap,8.42,144.2k,11.1k,0,7.83%,Pune,Technology
Sohit Kathuria,sohitkathuria,2.56,143.7k,0,8k,0.00%,New Delhi,Style & FashionFitness
Nishu Kumar,nishu_kumar22,8.45,143.6k,12.6k,18.3k,8.92%,Bengaluru,SportsFootball
Neha Mathur,whiskaffair,6.04,143.3k,202,5.9k,0.15%,Pune,Food & Drink
Prabh Jyot Singh??,prabhjyott,4.78,143.2k,72,7.5k,0.05%,India,Health & WellnessFitness
AJMIRA SHAIKH,eattravellaugh,7.64,142.9k,1.5k,0,1.04%,Delhi,LifestyleTravel
Workaway,workawayinfo,6.96,142.9k,597,0,0.42%,Assam,Travel
Anahita Dhondy,anahitadhondy,7.36,142.8k,838,5.7k,0.60%,New Delhi,LifestyleFood & Drink
Sangya Lakhanpal,sangya_lakhanpal,7.65,142.7k,1.7k,558,1.17%,Noida,BeautyTravel
C4ETech,c4etech,7.62,142.4k,1.3k,11.2k,0.90%,India,TechnologyApps & Software
Mrs Malabar Malayalam Recipes,mrs_malabar,8.24,142.4k,8.2k,190.2k,5.78%,India,Food & Drink
Abhiiii??,abhii.muralii,7.75,142.4k,2.7k,11k,1.91%,Kerala,FitnessHealthcare
Abhinav Mukund,abhinavmukund,8.09,141.6k,6.5k,18.2k,4.61%,Chennai,SportsCricket
Naveen Suresh Official,bangaloreepicure,7.63,141.6k,1.4k,24.1k,0.99%,Bengaluru,Food & DrinkBlogging
Homegrown (HG Media),homegrownin,7.52,141.5k,0.9k,4.7k,0.67%,Mumbai,Travel
Neelima Neelima,coolbyneel,6.92,141.4k,571,7.3k,0.41%,Hyderabad,BeautyFood & Drink
Pickyourtrail,pickyourtrail,6.54,141.3k,392,4.1k,0.29%,India,LifestyleTravel
Hrithik Roshan FC Kolkata,hrithikroshanfanclub_kolkata,7.69,141.2k,2.1k,4.5k,1.50%,India,LifestyleFood & Drink
Nita Ambani,ambaninitaa,2,140.9k,0,0,0.00%,Mumbai,Business
YUVRAJ WALMIKI,yuvrajhockey_9,7.49,140.7k,894,2.8k,0.66%,Mumbai,Sports
Manish Sarvan Muradiya,beingmanishmuradiya,7.7,140.6k,2.1k,103.8k,1.53%,Delhi,Photography
Nimit Nigam,nimitnigam,7.74,140.5k,2.5k,11.1k,1.91%,New Delhi,TravelPhotography
Savi Sharma,storytellersavi,8.14,140.5k,7.1k,77.7k,5.08%,India,Businessstartup
The Bridge,thebridge_in,7.5,139.9k,0.9k,2.2k,0.67%,India,Sports
Navi Arthkranti,naviarthkranti,7.71,139.5k,2.3k,4.5k,1.65%,Pune,Businessstartup
Rishi & Shshi,eatlikeamaniac,7.58,139.4k,1k,32.1k,0.71%,Delhi,Food & Drink
Swati,myswatitude,7.72,139.3k,2.3k,75.5k,1.69%,Bengaluru,Style & FashionLifestyle
Bengal Warriors,bengal.warriors,7.8,139.2k,3.2k,9.7k,2.36%,Kolkata,Sports
Sanket Narsale,thebarcakidd,7.71,139.2k,2.3k,9.7k,1.68%,Mumbai,Photography
Salman Khan FanClub™,beingsalmankhan.in,7.64,139.1k,1.6k,275.4k,1.12%,India,Business
Shikha Gupta,chattpati_shikhas,7.01,138.9k,623,13.1k,0.46%,New Delhi,LifestyleFood & Drink
Taniasachdev,taniasachdev,8.49,138.8k,14.8k,61k,10.73%,New Delhi,SportsLifestyle
Navneet Sachdev,glamadventuress,7.82,137.8k,3.4k,6.3k,2.52%,Delhi,LifestyleStyle & Fashion
My Two Little Feet,shivangigoel__,7.66,137.5k,1.6k,71.4k,1.23%,New Delhi,Family & Parenting
Yash Bajaj,pune_food_blogger,7.68,136.8k,1.9k,11.7k,1.42%,Pune,Food & Drink
Everyday Climate Change,everydayclimatechange,6.02,136.7k,208,797,0.15%,India,Technology
Shamees Kitchen,shamees_kitchen,7.62,136.6k,1.3k,117.3k,0.96%,Kerala,Food & Drink
J U N E D ?? F I T N E S S ??????,junedfitness,7.86,136.1k,3.9k,16.6k,2.90%,Mumbai,Fitness
Chandni,mominthebay,4.76,135.6k,0,2.5k,0.05%,Mumbai,Family & Parenting
KaChingIt By Deepali Kothari,kachingit,7.49,135.5k,0.9k,1k,0.69%,Mumbai,Education
Oberoi Hotels,oberoihotels,7.69,135.5k,2k,2.1k,1.52%,India,Business
UD Rathore | Baby Model,rajput__wedding,7.37,135.2k,858,14.5k,0.64%,Jaipur,Family & Parenting
??????? ????,kabaddiadda,7.8,135k,3.3k,4.4k,2.47%,Bengaluru,Sports
Ria Kriplani,riakriplani,7.7,134.8k,2.1k,10.2k,1.62%,Nagpur,LifestyleFood & Drink
Sriman,srimankotaru,8.78,134.4k,29.2k,57.1k,21.77%,India,TravelAutomotive
Satnam Singh,hellosatnam,8.01,134k,5.6k,41.4k,4.26%,Barnala,Business
Vansh Taneja The Food Vlogger,thefood.vlogger,7.65,134k,1.6k,96.2k,1.17%,Delhi,Food & Drink
SUTTERHUB™ INDIA OFFICIAL,shutterhub.india,2.4,133.4k,0,2.5k,0.00%,India,Arts & EntertainmentPhotography
MobiGyaan,mobigyaan,5.36,133.2k,120,2.6k,0.09%,India,TechnologyGadgets
VForVeggie™ Delhi Food Blogger,v_for_veggie,6.71,133k,464,1k,0.35%,India,Food & Drink
Shahbaaz Zaman,foodzpah,7.77,133k,2.9k,19.1k,2.22%,Kerala,Food & Drink
Hottest Cars In India,hottestcarsin.india,7.64,133k,1.5k,42.8k,1.16%,India,Automotive
Jinali & Malav,travelstoriesbyus,7.63,132.9k,1.3k,25.8k,1.05%,India,Travel
Parth Vandana,foodiecouple_parvan,6.5,132.5k,382,2.9k,0.29%,New Delhi,Food & Drink
Varsha Rohit,varsha_rohit,7.44,132.4k,898,7.9k,0.68%,Bengaluru,SportsAthlete
Sandeep Sharma,thesandeepsharma,7.8,132.1k,3.3k,6.5k,2.48%,Punjab,SportsCricket
Asha Shiv,foodfashionparty,6.4,131.8k,276,2.8k,0.27%,Bengaluru,Food & Drink
Soham Sinha | Kolkata Blogger,kolkatadelites,7.75,131.7k,2.7k,20.8k,2.08%,Kolkata,Food & DrinkBlogging
Jolly Food Fellow,jollyfoodfellow,2,131.4k,0,0,0.00%,India,Food & Drink
Mahendra's,mahendras_official,5.31,131.3k,113,1.9k,0.09%,India,Investment & Finance
Rani Rampal,ranirampal4,7.9,130.9k,4.4k,3.3k,3.37%,Haryana,Sports
Harpreeth Suri,momwearsprada,7.79,130.7k,3.1k,46.4k,2.49%,Delhi,Family & ParentingLifestyle
The Wanderer,siddharthajoshi,4.26,130.7k,0,2k,0.03%,Mumbai,Travel
Priya | Career Growth Tips,yourgrowthdiet,4.37,130.5k,40,0,0.04%,Bengaluru,Investment & FinanceEducation
Zinie Sanghvi,bandedinacandid,7.67,130.5k,1.8k,27.1k,1.39%,Mumbai,Style & FashionLifestyle
Freishia,freishia,7.44,130.3k,888,38.7k,0.69%,India,Travel
Gokul Das K S (GD) || INDIA ????,gokuldas.ks,7.78,130.2k,3k,14.2k,2.34%,Chennai,Photography
Shreevats Goswami,shreevatsgoswami,7.62,130.1k,1.3k,7.8k,0.99%,Kolkata,SportsCricket
Travent Mug Pvt Ltd,traventmug,7.63,130.1k,1.3k,25.1k,1.03%,Bengaluru,Travel
Phil X Fan Club,philx1111,7.66,129.8k,1.7k,14.7k,1.31%,Assam,Travel
THE GLOCAL JOURNAL,theglocaljournal,7.66,129.7k,1.7k,16.8k,1.34%,Mumbai,Food & Drink
Sangbad Pratidin,sangbadpratidin,7.14,129.4k,715,5.1k,0.55%,Kolkata,TechnologyGadgets
THI,thehungryindians,7.68,129.4k,2k,68.2k,1.55%,India,Food & Drink
Awadhesh Shukla,awadheshkshukla,2,129.3k,0,0,0.00%,India,Business
DTS Racing,diljithracing,7.98,128.9k,5.3k,21.5k,4.14%,Kerala,SportsAutomotive
Vineshjohny,vineshjohny,7.62,128.9k,1.2k,34.3k,0.97%,Bengaluru,Food & Drink
Basil Thamby,basilthamby,7.87,128.9k,4.1k,27.7k,3.18%,Kerala,Sports
PeeSafe,peesafe,6.47,128.8k,373,10.9k,0.29%,New Delhi,Travel
Ayyaz Ahmed,ayyaz_ahmed03,7.77,128.6k,2.9k,19.1k,2.35%,Mumbai,Businessstartup
Nmami Agarwal,nmamiagarwal,7.78,128.3k,2.9k,54.7k,2.38%,Delhi,Health & WellnessTravel
Maharashtra Instagrammers,maharashtra_ig,7.46,127.9k,0.9k,23.9k,0.72%,Mumbai,Food & Drink
Manish Grover,food_gambler,6.65,127.7k,435,0,0.35%,Rampur,Food & Drink
BOLTT,fireboltt_,6.84,127.3k,503,2.6k,0.41%,New Delhi,Sports
Kritika Goel,kritika_goel,7.89,127.2k,4.2k,13.6k,3.37%,Mumbai,LifestyleTravel
Salu Kitchen,salu_kitchen,6.98,127.2k,605,74.6k,0.48%,Kerala,Food & Drink
Deepanshu Sangwan,nomadic.indian,8.52,127.2k,16.2k,0,12.90%,India,Travel
IGyaan,igyaan,7.37,127.1k,847,4.2k,0.67%,New Delhi,TechnologyApps & Software
The Ink Bucket,theinkbucket,7.66,127.1k,1.7k,21.2k,1.38%,Bengaluru,Businessstartup
Kollam Foodies,kollamfoodies,2,127k,0,59.1k,0.00%,Kollam,Food & Drink
Jay Nikam (Noise Jäegger),noisejaegger,8.13,127k,6.9k,194.9k,5.57%,Nashik,PhotographyMusic
Aashish Chandratreya,aashishchandratreya,7.89,126.8k,4.3k,15.8k,3.37%,India,Photography
Thomas Zacharias,cheftzac,6.39,126.8k,339,11.9k,0.28%,India,Food & Drink
Fodrem.co,fodrem.co,7.02,126.6k,640,0,0.51%,Mumbai,Education
Meenal Shah,meenalshahofficial,8.02,126.3k,5.7k,32.2k,4.58%,Mumbai,Arts & EntertainmentDance
Aamir Wani,kashmirthroughmylens,7.83,126.2k,3.6k,6k,2.93%,Srinagar,PhotographyTravel
Premier Futsal,premierfutsalindia,2,125.6k,758,4.5k,0.60%,Talent,Travel
Dolly,chillystudio,7.74,125.5k,2.6k,17.8k,2.12%,Bengaluru,Travel
Yash Kamini Sudhakar Rane,chefyash,6.98,125.4k,591,6.6k,0.49%,Mumbai,Travel
Sanctuary Asia,sanctuaryasia,7.36,125.2k,851,2.6k,0.68%,Mumbai,Arts & EntertainmentMovies
Flying Machine,flyingmachine80,6.17,125.1k,265,1.5k,0.21%,Bengaluru,TechnologyGraphics & Animation
?? SHAY,shayentikah___,6.13,125k,235,883,0.20%,Delhi,LifestyleTravel
Unforgettable Girl??!,call_me_bbes_20,7.88,124.5k,4.1k,0,3.39%,Chennai,TravelTelevision
Eskimo,ig_calcutta,7.71,124.4k,2.3k,5.7k,1.88%,Kolkata,PhotographyTravel
Goela School Of Finance,goela_school_of_finance,7.69,124.3k,2.1k,10.5k,1.68%,India,Investment & FinancePersonal Finance
Payel Banerjee,delhi_ka_tadka,2.8,123.8k,0,16.7k,0.01%,Delhi,Food & Drink
Rahul Kumar,rahul_fitness_official,7.72,123.8k,2.4k,13k,1.94%,India,Health & WellnessFitness
Fugazee,fugazeeinc,6.67,123.1k,451,2.5k,0.37%,India,TechnologyApps & Software
Aanandi Joshi,aanandijoshi,6.63,123k,426,2.2k,0.36%,Mumbai,Businessstartup
MomFunda | Elina,momfunda,7.69,122.9k,2k,27.4k,1.65%,India,Family & Parenting
Sameer Nagori,mumbaifoodtrail,7.67,122.7k,1.9k,38.6k,1.53%,Mumbai,LifestyleFood & Drink
Arvind Singh Mewar,arvindsinghmewar,7.79,122.5k,3.2k,20.4k,2.64%,Udaipur,Business
Parth  Tandon,whatdillieats,6.53,122.5k,393,13k,0.33%,New Delhi,Food & Drink
Harshul Zubaan,chatori_zubaan,6.55,122.4k,400,186.5k,0.33%,Delhi,Food & Drink
Digit,digit.in,5.77,122.2k,171,764,0.14%,Noida,TechnologyGadgets
Rohit Raj,rohitonweb,8,122k,5.5k,51.8k,4.56%,Mumbai,Business
Rathika Ramasamy,rathikaramasamy,4.56,121.6k,0,3.1k,0.05%,New Delhi,Arts & EntertainmentPhotography
Kidsstoppress.com,kidsstoppress,4.81,121.3k,74,3.7k,0.06%,Mumbai,Family & Parenting
Vedang Kandalgaonkar,kanda.le.lo,7.63,121.2k,1.4k,7k,1.19%,Mumbai,PhotographyTravel
Preetika,goodfoodindia,5.21,120.9k,101,646,0.08%,Delhi,Food & Drink
"Anant Ladha, CFA CA CFP",anantladha1234,7.7,120.8k,2.2k,4.7k,1.80%,India,Investment & Finance
Parupalli Kashyap,parupallikashyap,7.77,120.3k,2.9k,9.1k,2.44%,Hyderabad,SportsAthlete
Nilu Yuleena Thapa,bighairloudmouth,3.52,120.2k,0,1.6k,0.02%,Bengaluru,Style & FashionBeauty
Travis Head,travishead34,8.03,120k,5.9k,12.1k,4.94%,India,SportsCricket
Xtreme Moto Adventur,dg_the_wanderer,7.92,120k,4.6k,15.3k,3.86%,Delhi,Automotive
Rizwan Bachav,rizwanbachav,6.4,120k,296,4.2k,0.29%,Mumbai,Style & FashionLifestyle
Colored Ideas,coloredideas14,6.06,119.7k,222,0,0.19%,India,Travel
Screw,screw_1996,6.94,119.7k,586,4.4k,0.49%,Ernakulam,TechnologyGadgets
Anandita Agrawal,crazylilmum,7.7,119.6k,2.2k,15.3k,1.84%,Jaipur,Family & ParentingLifestyle
Hrish Thota,dhempe,7.87,119.5k,3.9k,19.1k,3.39%,Bengaluru,Arts & EntertainmentPhotography
Social Connoisseurs Blog,socialconnoisseurs_blog,5.55,119.4k,123,19.8k,0.12%,India,Family & ParentingLifestyle
BIKER BOY ZAHIR,bikerboyzahir,8.42,119.2k,11.3k,14.1k,9.56%,India,AutomotiveTravel
Shaheen Abbas,shaheenabbas,6.35,118.9k,316,2k,0.28%,India,Food & Drink
Divya *fashionnova*,divyavermamakeupartist,7.71,118.9k,2.3k,9.3k,1.97%,Rajpura,Family & Parenting
Garima Bhandari,garimabhandariofficial,7.67,118.9k,1.6k,9.8k,1.56%,India,Style & FashionHealth & Wellness
Memeswale,memeswale,7.31,118.6k,819,7.5k,0.69%,India,Technology
Ashish Sulkh,sulkh,7.7,118.6k,2.1k,6.8k,1.81%,India,Photography
Onlymyhealth,onlymyhealth,5.38,118.4k,123,679,0.10%,India,Health & WellnessFitness
TeluguTitans_Kabaddi,telugu_titans,7.88,117.9k,4.1k,23k,3.52%,India,Sports
Shweta Srivastava,shwetasrii,7.6,117.4k,0.9k,6.7k,0.87%,Mumbai,FitnessStyle & Fashion
Uttpal Krushna (UK),foodetweeter,7.93,117.4k,4.5k,18.2k,4.02%,Mumbai,LifestyleFood & Drink
Suhail Khan,suhail_khan27,6.85,117.2k,516,5.2k,0.45%,India,Fitness
"Kolkata, The City Of Joy",thisiskolkata,7.71,117.1k,2.3k,10.6k,2.00%,Kolkata,TravelPhotography
? ???? ?? ???? ?? ???? ? ?? ??,sabruush,8.11,116.6k,6.8k,0,5.84%,Vadodara,Businessstartup
Delhigram,delhigram,6.5,116.6k,384,3.2k,0.33%,Delhi,LifestyleFood & Drink
Kolkata Sutra,kolkatasutra,7.63,116.4k,1.4k,5k,1.18%,Kolkata,Food & DrinkLifestyle
Street_food_,street_food_chandigarh,6.97,116.3k,600,15.7k,0.53%,Chandigarh,Food & Drink
Let’s Be Eloquent,letsbeeloquent,5.74,116k,166,2.8k,0.14%,India,Education
JustWravel,justwravel,6.07,115.9k,219,2.7k,0.20%,Noida,LifestyleTravel
Natasha Diddee,thegutlessfoodie,4.68,115.6k,0,0,0.06%,Pune,Food & Drink
Geetha Sridhar,geetha_maa,4.76,115.3k,71,276,0.06%,Mumbai,Food & Drink
Mens Craze,ankitsttt,4.02,115.3k,33,1.8k,0.03%,Mumbai,LifestyleTravel
Farha,mumfiesta,7.86,115.2k,3.8k,47.7k,3.41%,Delhi,Family & ParentingStyle & Fashion
Freddy,freddy_daruwala,7.49,115.2k,0.9k,3.3k,0.81%,Mumbai,Sports
Deepali Soam,myteenytot,7.82,115.1k,3.5k,46.9k,3.10%,Delhi,Family & ParentingGeneral
Ultra Cookery,ultracookery,5.16,115.1k,98,1.2k,0.09%,India,LifestyleFood & Drink
Cook With Nisha,cookwithnisha,7.65,114.8k,1.6k,11.4k,1.42%,India,LifestyleFood & Drink
Shubhra Paul,gastronomicjournal,7.69,114.6k,2k,15.9k,1.76%,Nagpur,Food & Drink
Sharmis Passions,sharmispassions,6.51,114.6k,378,5.2k,0.34%,India,Food & Drink
Chalo Odisha,chalo_odisha,8.02,114.4k,5.7k,37.7k,5.01%,Odisha,LifestyleTravel
Neha Sharma,hungrydilliwaali,2,114.3k,0,0,0.00%,India,Food & Drink
PRACHI | TRAVEL ??,themermaidwoman,7.17,114.2k,706,0,0.64%,India,Travel
Devika Narain,naraindevika,7.68,113.9k,1.9k,26.1k,1.68%,Chandigarh,Travel
Berger Paints,bergerpaintsindia,5.77,113.9k,171,1k,0.15%,India,Business
Prateek,sofaridabad,7.65,113.5k,1.6k,0,1.43%,Faridabad,Food & Drink
Pooja Bathija,golgappa_girl,8,113.3k,5.5k,22.3k,4.89%,Mumbai,Food & Drink
Zeel Shah - College Counselor,firstcareercounseling,6.23,113.2k,283,2.2k,0.25%,Mumbai,Education
Diapers & Lipsticks - Being Mommy,diapers_and_lipsticks,7.66,113.2k,1.7k,14k,1.57%,Haryana,Family & Parenting
Samrat Photography,flexcia_dsouza,7.67,113k,1.9k,0,1.66%,Ponda,LifestyleFood & Drink
Hotheads Extensions,hotheadshairextensions,4.8,112.7k,72,1.5k,0.07%,India,Business
Delhi Food Nerd,khaata_rahe_mera_dil,6.08,112.7k,226,0,0.20%,New Delhi,Food & Drink
Laksh,nagpur_buzz,7.76,112.6k,2.9k,43k,2.57%,Nagpur,Food & Drink
Surbhi Sharma,droolingdoll,7.68,112.4k,1.9k,29.8k,1.76%,India,LifestyleFamily & Parenting
VahChef-SanjayThumma,vahchef,7.61,112.2k,1.2k,11.2k,1.07%,India,Food & Drink
Pratiksha,racerchick_11,8.4,112.2k,10k,13.6k,8.99%,Mumbai,Automotive
EverydayMumbai,everydaymumbai,2,112.1k,0,0,0.00%,India,Arts & EntertainmentPhotography
Sumita Kapoor,sumitakapoor14003,7.86,111.8k,3.8k,45.7k,3.56%,New Delhi,Family & Parenting
Sulata,mommyandvihaan,6.36,111.8k,304,7.5k,0.30%,Bengaluru,Family & ParentingGeneral
Mysuru Foodie,mysurufoodie,7.96,111.7k,5.1k,128.7k,4.54%,Mysore,Food & Drink
Koyal Rana,koyalrana,7.68,111.7k,2k,0,1.78%,India,Travel
Luckii | Blogger,luckii_mee,4.44,111.5k,0,0,0.05%,Delhi,Style & FashionTravel
Nidhi Mohan Kamal,nidhimohankamal,7.65,111.4k,1.6k,6k,1.47%,New Delhi,LifestyleFitness
Nitin Hajela,hajela,6.53,111.4k,380,279,0.36%,Bengaluru,LifestyleFood & Drink
Thelandoutthere,thelandofwanderlust,6.06,111.4k,225,6k,0.20%,Mumbai,Travel
Foodelhi,foodelhi,4.46,111.3k,53,6.4k,0.05%,Delhi,LifestyleFood & Drink
Pragya Pathak,pragyapathakk,7.69,111k,2.1k,19.1k,1.90%,New Delhi,TravelLifestyle
Vidit Gujrathi,viditchess,8.48,110.8k,14k,28.7k,12.75%,Nashik,Sports
Dillifoodjunkie,dillifoodjunkie,6.41,110.7k,351,4.8k,0.32%,India,Food & Drink
Nmami Life,nmamilife,6.27,110.7k,302,2.4k,0.27%,India,LifestyleFood & Drink
Warangal Diaries,warangaldiaries,7.73,110.6k,2.5k,14k,2.31%,India,Arts & EntertainmentMovies
Manpreet Singh,manpreetsingh07,3.62,110.4k,0,9.7k,0.02%,Mithapur,SportsAthlete
Wassup Mumbai,wassup.mumbai,7.64,110.4k,1.5k,9.1k,1.40%,India,LifestyleFood & Drink
Ayesha Billimoria,fitgirl.india,6.81,110.3k,502,3.6k,0.46%,Mumbai,SportsFitness
UPCA,upcacricket,7.92,110.1k,4.7k,15.2k,4.25%,Kanpur,SportsCricket
Vidhi Doshi,ramenhairedgirl,7.61,110k,1.2k,26.1k,1.07%,Mumbai,LifestyleFood & Drink
Himanshu Biswas,himanshu.instaworld,6.02,109.8k,210,0,0.19%,India,Investment & FinancePersonal Finance
Khushboo,thesmokeyeyesgirl,7.86,109.7k,3.8k,11.5k,3.60%,Delhi,FitnessStyle & Fashion
Travel See Write,travelseewrite,7.87,109.7k,4k,2.7k,3.71%,New Delhi,Travel
Karishma Sakhrani,karishma_sakhrani,2.56,109.6k,0,13.1k,0.01%,Mumbai,Food & DrinkLifestyle
Ashbin George,food__destinations_,7.7,109.4k,2.1k,52.5k,1.95%,Kerala,Food & Drink
KL Rahul,rahulkl,7.77,109.4k,3k,692.1k,2.74%,Bengaluru,SportsCricket
COMO Hotels,comohotels,6.17,109.4k,260,2.5k,0.24%,Assam,Travel
ILFA |FOOD BLOGGER,spices_of_ilfa,7.03,109.4k,636,46k,0.59%,Kerala,Food & Drink
The Frustrated Engineer,thefrustratedengineer_,7.69,109.3k,2.1k,21.6k,1.92%,Rajasthan,TechnologyProgramming
FossBytes,fossbytes,7.65,109.3k,1.7k,12.4k,1.52%,New Delhi,TechnologyProgramming
Prakriti Varshney,itisinthename,7.9,109.2k,4.4k,13.5k,4.05%,New Delhi,Travel
Sanket Joshi,sanketsjoshi,8.05,109.1k,6k,9.1k,5.57%,India,Photography
Ayushilekhwani,ayushilekhwani,7,109k,617,31.9k,0.57%,Noida,LifestyleTravel
Nikita And Kamal,foodiepunters,6.64,109k,435,3.8k,0.40%,Mumbai,Food & DrinkTravel
Rituka Negi Bisht,super_mummarnb,7.9,108.7k,4.3k,31.6k,4.11%,Noida,Family & ParentingStyle & Fashion
Nisha,diamonds_and_chocolates,7.78,108.5k,3k,73.8k,2.88%,Mumbai,Family & Parenting
Prathap G Tech,prathapgtech,6.8,108.4k,494,4.3k,0.46%,Thrissur,TechnologyGadgets
Deepali Ogale,deepali.ogale,7.95,108.4k,5k,82.8k,4.60%,Mumbai,Health & WellnessFitness
Rashmi,ajisthsmomstyle,7.6,108.4k,1.1k,12.5k,1.00%,Delhi,LifestyleHealth & Wellness
Rakskitchen,rakskitchen,6.99,108.4k,603,18.2k,0.58%,India,Food & Drink
Mumbai Food Junkie™,mumbaifoodjunkie,2.64,108.2k,0,12.9k,0.01%,Mumbai,Food & Drink
Bangalore  Foodie,bangalorefoodiee,7.13,108.2k,705,11k,0.66%,Bengaluru,Food & Drink
Rishab Dahiya,rishabdahiya,6.95,108.1k,591,4.3k,0.55%,New Delhi,Arts & EntertainmentMovies
Manika Dixit,momnbabydiaries,4.65,108k,0,31.4k,0.06%,Delhi,Family & Parenting
Rashmi,rashmi.anaokar.agarwal,7.64,107.8k,1.5k,6.8k,1.41%,Pune,Fitness
Things To Do In Delhi,things2doindelhi,7.05,107.7k,655,8.5k,0.61%,Delhi,Food & Drink
Shivya Nath,shivya,4.51,107.6k,0,0,0.05%,Dehradun,Travel
Chinnuz(I Love My Kerala Food),food_fanatic_me,7.67,107.5k,1.8k,38.9k,1.74%,Thrissur,Food & Drink
Dhoni Raina FC,dhoniraina_team,6.85,107.4k,536,7.6k,0.50%,Chennai,SportsCricket
Yuvika,yuvi.says,7.28,107.3k,741,16.3k,0.75%,Mumbai,Family & Parenting
Ritcha,ritcha,7.6,107.3k,1k,50.8k,0.97%,Mumbai,LifestyleStyle & Fashion
Neha Gulati,thatfitmum,7.66,107.2k,1.6k,11.7k,1.65%,Delhi,Fitness
Anupreet Sidhu,anupreetsidhu,8.5,107k,15.2k,45.5k,14.28%,Chandigarh,Style & FashionTravel
Naman Jain,delhicravings,6.82,106.7k,508,22.1k,0.49%,Delhi,Food & Drink
Lauren Von Der Pool,queenofgreen,7.61,106.7k,1.2k,11.2k,1.13%,Assam,Food & Drink
Adith,adith_officiall,7.63,106.4k,1.4k,8.7k,1.28%,India,Arts & EntertainmentMovies
Vivek Rajput,vivekartiste,6.1,106.3k,223,503,0.23%,Delhi,TechnologyApps & Software
Unnatee  ??,unnatipatwa,8.45,106.3k,12.5k,21.8k,11.85%,Mumbai,FitnessStyle & Fashion
Lalit Choudhary,lalitchoudhary13,3.65,106.3k,0,2k,0.02%,Mumbai,Style & FashionFitness
Virinda Dembla??,virindademblamalik,8.31,106.2k,8.9k,78.1k,8.47%,India,Food & Drink
Amit Bhawani,amitbhawani,7.32,106.2k,818,12.9k,0.78%,Hyderabad,TechnologyApps & Software
Sunny Gala,worthashott,7.93,106.1k,4.6k,5k,4.46%,India,TravelPhotography
Ashwini Ponnappa,p9ashwini,8.11,106k,6.7k,15.4k,6.37%,Bengaluru,Sports
Shani Dayal | Yoga Teacher,shaniyoga.in,7.31,105.4k,806,4.2k,0.78%,Mumbai,YogaFitness
Shweta,shwetasawarnik,7.7,105.1k,2.1k,48.1k,2.08%,Delhi,Family & ParentingLifestyle
RANG OF PHOTOGRAPHY,rang_of_photography,6.14,105.1k,249,8.9k,0.24%,Mumbai,Photography
Foodie_muscle_man,foodie_muscle_man,7.79,105k,3.2k,32.5k,3.08%,Kerala,Food & Drink
Bastian,bastianmumbai,6.47,105k,378,4.4k,0.36%,India,Food & Drink
Heena Gulati | New Delhi,heena_gulati89,7.67,104.9k,1.9k,20.5k,1.81%,Delhi,TravelLifestyle
Nameesh,fodyssey,7.66,104.7k,1.7k,1.9k,1.62%,Bengaluru,Food & DrinkLifestyle
Bira 91,bira91beer,7.26,104.5k,776,10.7k,0.76%,New Delhi,Technology
Veena Jan (Official),veenascurryworld,6.65,104.5k,431,31.7k,0.43%,Kerala,Food & Drink
WalkWithChennai,walkwithchennai,7.61,104.5k,1.1k,15.9k,1.09%,Chennai,Food & Drink
